city;lat;lng
Głogów;51.65;16.08
Jelenia Góra;50.90;15.73
Legnica;51.22;16.17
Lubin;51.23;22.57
Wałbrzych;50.78;16.28
Wrocław;51.12;17.03
Bydgoszcz;53.12;18.00
Grudziądz;53.48;18.77
Inowrocław;52.80;18.25
Toruń;53.03;18.62
Włocławek;52.65;19.05
Chełm;51.142015;23.469799
Lublin;51.23;22.57
Zamość;50.72;23.27
Gorzów Wielkopolski;52.73;15.23
Zielona Góra;51.93;15.50
Łódź;51.78;19.47
Pabianice;51.67;19.37
Piotrków Trybunalski;51.40;19.68
Tomaszów Mazowiecki;51.53;20.03
Kraków;50.05;19.95
Nowy Sącz;49.62;20.70
Tarnów;50.03;21.00
Płock;52.55;19.70
Pruszków;52.17;20.80
Radom;51.40;21.17
Siedlce;52.167913;22.291842
Warszawa;52.20;21.03
Kędzierzyn-Koźle;50.35;18.20
Opole;50.67;17.93
Mielec;50.28;21.43
Przemyśl;49.80;22.78
Rzeszów;50.05;22.02
Stalowa Wola;50.57;22.08
Białystok;53.13;23.17
Łomża;53.18;22.07
Suwałki;54.10;22.93
Gdańsk;54.37;18.63
Gdynia;54.53;18.53
Słupsk;54.47;17.03
Tczew;54.10;18.72
Bielsko-Biała;49.83;19.07
Bytom;50.38;18.90
Chorzów;50.30;18.95
Częstochowa;50.80;19.12
Dąbrowa Górnicza;50.32;19.27
Gliwice;50.28;18.67
Jastrzębie-Zdrój;49.95;18.58
Jaworzno;50.22;19.27
Katowice;50.25;19.00
Mysłowice;50.23;19.13
Ruda Śląska;50.27;18.87
Rybnik;50.08;18.55
Siemianowice Śląskie;50.30;19.03
Sosnowiec;50.28;19.13
Tarnowskie Góry;50.45;18.87
Tychy;50.13;18.98
Zabrze;50.30;18.78
Żory;50.05;18.70
Kielce;50.88;20.62
Ostrowiec Świętokrzyski;50.85;21.38
Elbląg;54.17;19.40
Ełk;53.48;22.35
Olsztyn;53.78;20.50
Gniezno;52.53;17.60
Kalisz;51.77;18.10
Konin;52.22;18.27
Leszno;51.85;16.57
Ostrów Wielkopolski;51.63;17.82
Piła;53.17;16.75
Poznań;52.42;16.92
Koszalin;54.18;16.18
Stargard;53.33;15.03
Szczecin;53.43;14.57
